,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,Nevada
24,New Hampshire
25,New Jersey
26,New Mexico
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Texas
37,Utah
38,Vermont
39,Virginia
40,Washington
41,West Virginia
42,Wisconsin
43,Wyoming
44,Arizona
45,Arkansas
46,Connecticut
47,Delaware
48,Florida
49,Georgia
50,Hawaii
51,Idaho
52,Illinois
53,Indiana
54,Iowa
55,Kansas
56,Kentucky
57,Louisiana
58,Maine
59,Maryland
60,Massachusetts
61,Michigan
62,Minnesota
63,Mississippi
64,Missouri
65,Montana
66,Nebraska
67,Nevada
68,New Hampshire
69,New Jersey
70,New Mexico
71,North Carolina
72,North Dakota
73,Oklahoma
74,Oregon
75,Pennsylvania
76,Rhode Island
77,South Carolina
78,South Dakota
79,Tennessee
80,Texas
81,Utah
82,Vermont
83,Virginia
84,Washington
85,West Virginia
86,Wisconsin
87,Wyoming
